source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]
Sample 48	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 48	proteomic profiling by mass spectrometry	1	20200101_SL_QexXn2_1216_22cmr2um_Fred_DMSO3_HpH_RT_16.raw	16	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001268	NT=Q Exactive HF;AC=MS:1002540	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:52	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:138	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 49	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 49	proteomic profiling by mass spectrometry	1	20200101_SL_QexXn2_1216_22cmr2um_Fred_PR1_HpH_RT_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001269	NT=Q Exactive HF;AC=MS:1002541	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:53	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:139	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 50	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 50	proteomic profiling by mass spectrometry	1	20200101_SL_QexXn2_1216_22cmr2um_Fred_PR1_HpH_RT_2.raw	2	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001270	NT=Q Exactive HF;AC=MS:1002542	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:54	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:140	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 51	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 51	proteomic profiling by mass spectrometry	1	20200101_SL_QexXn2_1216_22cmr2um_Fred_PR1_HpH_RT_3.raw	3	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001271	NT=Q Exactive HF;AC=MS:1002543	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:55	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:141	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 52	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 52	proteomic profiling by mass spectrometry	1	20200101_SL_QexXn2_1216_22cmr2um_Fred_PR1_HpH_RT_4.raw	4	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001272	NT=Q Exactive HF;AC=MS:1002544	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:56	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:142	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 53	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 53	proteomic profiling by mass spectrometry	1	20200101_SL_QexXn2_1216_22cmr2um_Fred_PR1_HpH_RT_5.raw	5	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001273	NT=Q Exactive HF;AC=MS:1002545	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:57	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:143	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 54	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 54	proteomic profiling by mass spectrometry	1	20200101_SL_QexXn2_1216_22cmr2um_Fred_PR1_HpH_RT_6.raw	6	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001274	NT=Q Exactive HF;AC=MS:1002546	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:58	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:144	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 55	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 55	proteomic profiling by mass spectrometry	1	20200101_SL_QexXn2_1216_22cmr2um_Fred_PR1_HpH_RT_7.raw	7	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001275	NT=Q Exactive HF;AC=MS:1002547	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:59	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:145	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 56	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 56	proteomic profiling by mass spectrometry	1	20200101_SL_QexXn2_1216_22cmr2um_Fred_PR1_HpH_RT_8.raw	8	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001276	NT=Q Exactive HF;AC=MS:1002548	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:60	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:146	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 57	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 57	proteomic profiling by mass spectrometry	1	20200101_SL_QexXn2_1216_22cmr2um_Fred_PR1_HpH_RT_9.raw	9	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001277	NT=Q Exactive HF;AC=MS:1002549	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:61	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:147	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 58	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 58	proteomic profiling by mass spectrometry	1	20200101_SL_QexXn2_1216_22cmr2um_Fred_PR1_HpH_RT_10.raw	10	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001278	NT=Q Exactive HF;AC=MS:1002550	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:62	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:148	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 59	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 59	proteomic profiling by mass spectrometry	1	20200101_SL_QexXn2_1216_22cmr2um_Fred_PR1_HpH_RT_11.raw	11	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001279	NT=Q Exactive HF;AC=MS:1002551	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:63	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:149	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 60	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 60	proteomic profiling by mass spectrometry	1	20200101_SL_QexXn2_1216_22cmr2um_Fred_PR1_HpH_RT_12.raw	12	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001280	NT=Q Exactive HF;AC=MS:1002552	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:64	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:150	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 61	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 61	proteomic profiling by mass spectrometry	1	20200101_SL_QexXn2_1216_22cmr2um_Fred_PR1_HpH_RT_13.raw	13	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001281	NT=Q Exactive HF;AC=MS:1002553	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:65	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:151	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 62	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 62	proteomic profiling by mass spectrometry	1	20200101_SL_QexXn2_1216_22cmr2um_Fred_PR1_HpH_RT_14.raw	14	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001282	NT=Q Exactive HF;AC=MS:1002554	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:66	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:152	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 63	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 63	proteomic profiling by mass spectrometry	1	20200101_SL_QexXn2_1216_22cmr2um_Fred_PR1_HpH_RT_15.raw	15	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001283	NT=Q Exactive HF;AC=MS:1002555	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:67	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:153	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 64	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 64	proteomic profiling by mass spectrometry	1	20200101_SL_QexXn2_1216_22cmr2um_Fred_PR1_HpH_RT_16.raw	16	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001284	NT=Q Exactive HF;AC=MS:1002556	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:68	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:154	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 65	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 65	proteomic profiling by mass spectrometry	1	20191027_SL_QexXn2_1023_22cmr2um_FRED_PR2_RT_HpH_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001285	NT=Q Exactive HF;AC=MS:1002557	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:69	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:155	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 66	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 66	proteomic profiling by mass spectrometry	1	20191027_SL_QexXn2_1023_22cmr2um_FRED_PR2_RT_HpH_2.raw	2	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001286	NT=Q Exactive HF;AC=MS:1002558	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:70	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:156	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 67	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 67	proteomic profiling by mass spectrometry	1	20191027_SL_QexXn2_1023_22cmr2um_FRED_PR2_RT_HpH_3.raw	3	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001287	NT=Q Exactive HF;AC=MS:1002559	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:71	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:157	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 68	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 68	proteomic profiling by mass spectrometry	1	20191027_SL_QexXn2_1023_22cmr2um_FRED_PR2_RT_HpH_4.raw	4	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001288	NT=Q Exactive HF;AC=MS:1002560	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:72	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:158	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 69	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 69	proteomic profiling by mass spectrometry	1	20191027_SL_QexXn2_1023_22cmr2um_FRED_PR2_RT_HpH_5.raw	5	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001289	NT=Q Exactive HF;AC=MS:1002561	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:73	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:159	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 70	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 70	proteomic profiling by mass spectrometry	1	20191027_SL_QexXn2_1023_22cmr2um_FRED_PR2_RT_HpH_6.raw	6	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001290	NT=Q Exactive HF;AC=MS:1002562	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:74	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:160	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 71	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 71	proteomic profiling by mass spectrometry	1	20191027_SL_QexXn2_1023_22cmr2um_FRED_PR2_RT_HpH_7.raw	7	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001291	NT=Q Exactive HF;AC=MS:1002563	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:75	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:161	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 72	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 72	proteomic profiling by mass spectrometry	1	20191027_SL_QexXn2_1023_22cmr2um_FRED_PR2_RT_HpH_8.raw	8	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001292	NT=Q Exactive HF;AC=MS:1002564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:76	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:162	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 73	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 73	proteomic profiling by mass spectrometry	1	20191027_SL_QexXn2_1023_22cmr2um_FRED_PR2_RT_HpH_9.raw	9	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001293	NT=Q Exactive HF;AC=MS:1002565	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:77	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:163	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 74	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 74	proteomic profiling by mass spectrometry	1	20191027_SL_QexXn2_1023_22cmr2um_FRED_PR2_RT_HpH_10.raw	10	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001294	NT=Q Exactive HF;AC=MS:1002566	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:78	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:164	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
