source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	assay name	technology type	comment[cleavage agent details]	comment[cleavage agent details]	comment[data file]	comment[fraction identifier]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[technical replicate]	comment[tool metadata]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
C12	Equus caballus	oocyte	21	oocyte	not available	not applicable	C12	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064411_AurEl8_PM8_CMB-1696_Control_rep3_40_BF9_1_11349.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T10	Equus caballus	oocyte	22	oocyte	not available	not applicable	T10	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064415_AurEl8_PM8_CMB-1696_Treatment_rep3_50_BG11_1_11353.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T11	Equus caballus	oocyte	23	oocyte	not available	not applicable	T11	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064417_AurEl8_PM8_CMB-1696_Treatment_rep3_41_BG2_1_11355.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T12	Equus caballus	oocyte	24	oocyte	not available	not applicable	T12	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064425_AurEl8_PM8_CMB-1696_Treatment_rep3_42_BG3_1_11363.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T13	Equus caballus	oocyte	25	oocyte	not available	not applicable	T13	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064427_AurEl8_PM8_CMB-1696_Treatment_rep3_45_BG6_1_11365.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
C13	Equus caballus	oocyte	26	oocyte	not available	not applicable	C13	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064379_AurEl8_PM8_CMB-1696_Control_rep2_22_BD7_1_11317.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	2	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T14	Equus caballus	oocyte	27	oocyte	not available	not applicable	T14	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064381_AurEl8_PM8_CMB-1696_Treatment_rep2_29_BE6_1_11319.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	2	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
C14	Equus caballus	oocyte	28	oocyte	not available	not applicable	C14	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064383_AurEl8_PM8_CMB-1696_Control_rep2_21_BD6_1_11321.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	2	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
C15	Equus caballus	oocyte	29	oocyte	not available	not applicable	C15	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064385_AurEl8_PM8_CMB-1696_Control_rep2_24_BD9_1_11323.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	2	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
C16	Equus caballus	oocyte	30	oocyte	not available	not applicable	C16	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064387_AurEl8_PM8_CMB-1696_Control_rep2_18_BD3_1_11325.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	2	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
