source name	characteristics[biological replicate]	characteristics[cell type]	characteristics[organism part]	characteristics[disease]	characteristics[sample type]	characteristics[organism]	characteristics[organism]	characteristics[organism]	assay name	technology type	comment[fraction identifier]	comment[cleavage agent details]	comment[data file]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]
SB_B_31	1	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	30 hours of growth on succinate	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_31.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_B_32	2	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	30 hours of growth on succinate	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_32.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_B_33	3	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	30 hours of growth on succinate	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_33.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_B_34	1	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	48 hours of growth on succinate	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_34.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_B_35	2	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	48 hours of growth on succinate	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_35.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_B_36	3	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	48 hours of growth on succinate	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_36.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_C_01	1	not applicable	not applicable	not applicable	supernatant	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	6 hours of growth on DEP	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_C_01.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_C_02	2	not applicable	not applicable	not applicable	supernatant	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	6 hours of growth on DEP	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_C_02.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_C_03	3	not applicable	not applicable	not applicable	supernatant	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	6 hours of growth on DEP	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_C_03.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_C_04	1	not applicable	not applicable	not applicable	supernatant	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	6 hours of growth on succinate	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_C_04.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_C_05	2	not applicable	not applicable	not applicable	supernatant	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	6 hours of growth on succinate	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_C_05.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_C_06	3	not applicable	not applicable	not applicable	supernatant	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	6 hours of growth on succinate	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_C_06.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_C_07	1	not applicable	not applicable	not applicable	supernatant	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	24 hours of growth on DEP	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_C_07.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_C_08	2	not applicable	not applicable	not applicable	supernatant	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	24 hours of growth on DEP	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_C_08.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_C_09	3	not applicable	not applicable	not applicable	supernatant	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	24 hours of growth on DEP	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_C_09.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_C_10	1	not applicable	not applicable	not applicable	supernatant	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	24 hours of growth on succinate	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_C_10.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_C_11	2	not applicable	not applicable	not applicable	supernatant	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	24 hours of growth on succinate	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_C_11.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
