source name	characteristics[short name]	characteristics[sample frequency]	characteristics[date]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[label]	comment[technical replicate]	comment[fraction identifier]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	factor value[sample frequency]
3D20Mar-3	3D20Mar-3	3 days	20-Mar	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	3	run F428290	proteomic profiling by mass spectrometry	F428290.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	3 days
3D23Mar-2	3D23Mar-2	3 days	23-Mar	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	2	run F428291	proteomic profiling by mass spectrometry	F428291.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	3 days
3D23Mar-3	3D23Mar-3	3 days	23-Mar	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	3	run F428292	proteomic profiling by mass spectrometry	F428292.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	3 days
3D26Mar-1	3D26Mar-1	3 days	26-Mar	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	1	run F428293	proteomic profiling by mass spectrometry	F428293.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	3 days
3D26Mar-2	3D26Mar-2	3 days	26-Mar	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	2	run F428294	proteomic profiling by mass spectrometry	F428294.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	3 days
3D26Mar-3	3D26Mar-3	3 days	26-Mar	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	3	run F428295	proteomic profiling by mass spectrometry	F428295.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	3 days
3D29Mar-1	3D29Mar-1	3 days	29-Mar	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	1	run F428296	proteomic profiling by mass spectrometry	F428296.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	3 days
3D29Mar-2	3D29Mar-2	3 days	29-Mar	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	2	run F428297	proteomic profiling by mass spectrometry	F428297.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	3 days
3D29Mar-3	3D29Mar-3	3 days	29-Mar	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	3	run F428298	proteomic profiling by mass spectrometry	F428298.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	3 days
3D4Apr-1	3D4Apr-1	3 days	4-Apr	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	1	run F428276	proteomic profiling by mass spectrometry	F428276.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	3 days
