source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[protein amount]
sample 21	mus musculus	brain cortex	not available	adult	not available	1	run 21	proteomic profiling by mass spectrometer	1	christina_Aldh1l1_Camk2a_21ip_05.raw	1	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Q Exactive Plus; AC=MS:1002634	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetylation;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	20 ppm	0.05 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	300 ug
sample 22	mus musculus	brain cortex	not available	adult	not available	1	run 22	proteomic profiling by mass spectrometer	1	christina_Aldh1l1_Camk2a_21ip_07.raw	1	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Q Exactive Plus; AC=MS:1002634	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetylation;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	20 ppm	0.05 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	300 ug
sample 23	mus musculus	brain cortex	astrocyte	adult	not available	1	run 23	proteomic profiling by mass spectrometer	1	christina_Aldh1l1_Camk2a_21ip_08.raw	1	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Q Exactive Plus; AC=MS:1002634	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetylation;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	20 ppm	0.05 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	300 ug
sample 24	mus musculus	brain cortex	excitatory neuron	adult	not available	1	run 24	proteomic profiling by mass spectrometer	1	christina_Aldh1l1_Camk2a_21ip_09.raw	1	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Q Exactive Plus; AC=MS:1002634	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetylation;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	20 ppm	0.05 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	300 ug
sample 25	mus musculus	brain cortex	astrocyte	adult	not available	1	run 25	proteomic profiling by mass spectrometer	1	christina_Aldh1l1_Camk2a_21ip_11.raw	1	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Q Exactive Plus; AC=MS:1002634	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetylation;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	20 ppm	0.05 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	300 ug
sample 26	mus musculus	brain cortex	astrocyte	adult	not available	1	run 26	proteomic profiling by mass spectrometer	1	christina_Aldh1l1_Camk2a_21ip_12.raw	1	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Q Exactive Plus; AC=MS:1002634	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetylation;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	20 ppm	0.05 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	300 ug
sample 27	mus musculus	brain cortex	excitatory neuron	adult	not available	1	run 27	proteomic profiling by mass spectrometer	1	christina_Aldh1l1_Camk2a_21ip_13.raw	1	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Q Exactive Plus; AC=MS:1002634	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetylation;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	20 ppm	0.05 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	300 ug
sample 28	mus musculus	brain cortex	astrocyte	adult	not available	1	run 28	proteomic profiling by mass spectrometer	1	christina_Aldh1l1_Camk2a_21ip_15.raw	1	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Q Exactive Plus; AC=MS:1002634	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetylation;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	20 ppm	0.05 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	300 ug
sample 29	mus musculus	brain cortex	astrocyte	adult	not available	1	run 29	proteomic profiling by mass spectrometer	1	christina_Aldh1l1_Camk2a_21ip_16.raw	1	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Q Exactive Plus; AC=MS:1002634	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetylation;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	20 ppm	0.05 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	300 ug
sample 30	mus musculus	brain cortex	excitatory neuron	adult	not available	1	run 30	proteomic profiling by mass spectrometer	1	christina_Aldh1l1_Camk2a_21ip_17.raw	1	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Q Exactive Plus; AC=MS:1002634	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetylation;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	20 ppm	0.05 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	300 ug
