source name	characteristics[age]	characteristics[developmental stage]	characteristics[organism part]	characteristics[disease]	characteristics[organism]	characteristics[cell type]	characteristics[environmental sample type]	characteristics[treatment]	characteristics[sampling time]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]	factor value[sampling time]
T52	1 year	adult	cecum	normal	mus musculus	not available	gut microbiome	13C	8 hour	2	T52_PanC_20250903_04_DDA_08	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	T52_PanC_20250903_04_DDA_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	13C	8 hour
T62	1 year	adult	cecum	normal	mus musculus	not available	gut microbiome	13C	8 hour	3	T62_PanC_20250903_04_DDA_14	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	T62_PanC_20250903_04_DDA_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	13C	8 hour
T43	1 year	adult	cecum	normal	mus musculus	not available	gut microbiome	13C	12 hour	1	T43_PanC_20250903_04_DDA_03	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	T43_PanC_20250903_04_DDA_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	13C	12 hour
T53	1 year	adult	cecum	normal	mus musculus	not available	gut microbiome	13C	12 hour	2	T53_PanC_20250903_04_DDA_09	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	T53_PanC_20250903_04_DDA_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	13C	12 hour
T63	1 year	adult	cecum	normal	mus musculus	not available	gut microbiome	13C	12 hour	3	T63_PanC_20250903_04_DDA_15	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	T63_PanC_20250903_04_DDA_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	13C	12 hour
T44	1 year	adult	cecum	normal	mus musculus	not available	gut microbiome	13C	16 hour	1	T44_PanC_20250903_04_DDA_04	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	T44_PanC_20250903_04_DDA_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	13C	16 hour
T54	1 year	adult	cecum	normal	mus musculus	not available	gut microbiome	13C	16 hour	2	T54_PanC_20250916_06_DDA_02	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	T54_PanC_20250916_06_DDA_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	13C	16 hour
T64	1 year	adult	cecum	normal	mus musculus	not available	gut microbiome	13C	16 hour	3	T64_PanC_20250903_04_DDA_16	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	T64_PanC_20250903_04_DDA_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	13C	16 hour
T45	1 year	adult	cecum	normal	mus musculus	not available	gut microbiome	13C	20 hour	1	T45_PanC_20250903_04_DDA_05	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	T45_PanC_20250903_04_DDA_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	13C	20 hour
T55	1 year	adult	cecum	normal	mus musculus	not available	gut microbiome	13C	20 hour	2	T55_PanC_20250903_04_DDA_11	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	T55_PanC_20250903_04_DDA_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	13C	20 hour
T65	1 year	adult	cecum	normal	mus musculus	not available	gut microbiome	13C	20 hour	3	T65_PanC_20250903_04_DDA_17	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	T65_PanC_20250903_04_DDA_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	13C	20 hour
T46	1 year	adult	cecum	normal	mus musculus	not available	gut microbiome	13C	24 hour	1	T46_PanC_20250903_04_DDA_06	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	T46_PanC_20250903_04_DDA_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	13C	24 hour
T56	1 year	adult	cecum	normal	mus musculus	not available	gut microbiome	13C	24 hour	2	T56_PanC_20250903_04_DDA_12	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	T56_PanC_20250903_04_DDA_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	13C	24 hour
T66	1 year	adult	cecum	normal	mus musculus	not available	gut microbiome	13C	24 hour	3	T66_PanC_20250903_04_DDA_18	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	T66_PanC_20250903_04_DDA_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	13C	24 hour
