source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[correctionfactor]	comment[cleavage agent details]	comment[instrument]	comment[label]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
sham_3	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	3	Sham_Naive-3_36	proteomic profiling by mass spectrometry	Sham_Naive-3_36.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
sham_3	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	4	Sham_ORG309075_1	proteomic profiling by mass spectrometry	Sham_ORG309075_1.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
sham_3	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	5	Sham_ORG309079_2	proteomic profiling by mass spectrometry	Sham_ORG309079_2.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
sham_3	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	6	Sham_ORG309083_3	proteomic profiling by mass spectrometry	Sham_ORG309083_3.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
aldara_3	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	1	Vehicle_ORG309087_4	proteomic profiling by mass spectrometry	Vehicle_ORG309087_4.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
aldara_3	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	2	Vehicle_ORG309091_5	proteomic profiling by mass spectrometry	Vehicle_ORG309091_5.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
aldara_3	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	3	Vehicle_ORG309095_6	proteomic profiling by mass spectrometry	Vehicle_ORG309095_6.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
aldara_3	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	4	Vehicle_ORG309099_7	proteomic profiling by mass spectrometry	Vehicle_ORG309099_7.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
aldara_3	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	5	Vehicle_ORG309103_8	proteomic profiling by mass spectrometry	Vehicle_ORG309103_8.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
aldara_3	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	6	Vehicle_ORG309107_9	proteomic profiling by mass spectrometry	Vehicle_ORG309107_9.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
